Phase shifts for n-p scattering from Argonne potential. Taken from https://arxiv.org/abs/1603.05382
250 -25.158 -24.989 -24.991 -25.018 -24.992 -25.311 -25.097 -25.098 -25.142 -25.109
300 -28.721 -28.534 -28.536 -28.550 -28.538 -28.564 -28.329 -28.330 -28.353 -28.331
350 -32.099 -31.894 -31.896 -31.895 -31.895 -31.544 -31.298 -31.300 -31.311 -31.305
1D2
1 0.001 0.001 0.001 0.000 0.000 0.001 0.001 0.001 0.000 0.000
5 0.037 0.037 0.042 0.041 0.041 0.037 0.038 0.037 0.040 0.038
10 0.151 0.152 0.157 0.164 0.156 0.150 0.152 0.154 0.167 0.155
25 0.679 0.680 0.681 0.691 0.680 0.672 0.673 0.673 0.670 0.671
50 1.703 1.705 1.706 1.722 1.715 1.689 1.692 1.693 1.702 1.693
100 3.807 3.813 3.814 3.825 3.817 3.784 3.797 3.798 3.824 3.807
150 5.720 5.728 5.730 5.746 5.739 5.663 5.688 5.690 5.690 5.691
200 7.307 7.311 7.314 7.324 7.323 7.225 7.264 7.266 7.283 7.267
250 8.566 8.542 8.545 8.553 8.555 8.505 8.556 8.559 8.572 8.560
300 9.511 9.450 9.453 9.460 9.454 9.568 9.630 9.635 9.651 9.637
350 10.163 10.080 10.085 10.122 10.088 10.477 10.551 10.555 10.545 10.552
3D2
1 0.004 0.006 0.008 0.010 0.008 0.006 0.007 0.008 0.011 0.009
5 0.199 0.201 0.221 0.222 0.222 0.223 0.223 0.223 0.223 0.223
10 0.816 0.818 0.847 0.850 0.848 0.852 0.852 0.851 0.852 0.852
25 3.695 3.708 3.713 3.721 3.722 3.736 3.738 3.744 3.751 3.739
50 8.882 8.940 8.946 8.964 8.958 9.010 9.006 9.012 9.052 9.051
100 16.947 17.101 17.109 17.123 17.118 17.078 17.104 17.140 17.154 17.155
150 21.783 21.839 21.851 21.875 21.862 21.713 21.679 21.726 21.740 21.731
200 24.154 24.180 24.194 24.227 24.194 23.862 23.903 23.960 23.992 23.968
250 25.009 25.034 25.048 25.096 25.144 24.738 24.737 24.814 24.825 24.810
300 25.044 24.981 24.996 25.052 25.049 24.765 24.764 24.835 24.843 24.842
350 24.460 24.375 24.389 24.413 24.395 24.379 24.319 24.374 24.421 24.397
